x,y,z,PIR,time
15844,-1032,-3836,0,2019-06-04 14:04:55.105970
18260,-740,-2356,0,2019-06-04 14:04:55.209769
15964,-1024,-880,0,2019-06-04 14:04:55.313549
17728,-1052,-40,0,2019-06-04 14:04:55.417312
15884,-1032,-880,0,2019-06-04 14:04:55.521001
15208,-1996,424,0,2019-06-04 14:04:55.624701
17016,-676,636,0,2019-06-04 14:04:55.728435
17240,-1364,1216,0,2019-06-04 14:04:55.832244
15504,-1428,84,0,2019-06-04 14:04:55.936057
18172,-912,-1260,0,2019-06-04 14:04:56.039680
16728,-1000,-668,0,2019-06-04 14:04:56.143380
15632,-1520,-180,0,2019-06-04 14:04:56.247123
17736,-1492,880,0,2019-06-04 14:04:56.350885
14888,-1888,-2096,0,2019-06-04 14:04:56.454559
16916,-1292,704,0,2019-06-04 14:04:56.558237
15164,-1220,1100,0,2019-06-04 14:04:56.662116
18496,-1224,-3996,0,2019-06-04 14:04:56.765890
21212,-600,848,0,2019-06-04 14:04:56.869764
17184,-104,956,0,2019-06-04 14:04:56.973450
16780,624,-1456,0,2019-06-04 14:04:57.077221
17176,-92,-1508,0,2019-06-04 14:04:57.180970
14912,-452,-188,0,2019-06-04 14:04:57.284705
15320,-536,208,0,2019-06-04 14:04:57.388492
16720,52,1076,0,2019-06-04 14:04:57.492242
15600,-132,-192,0,2019-06-04 14:04:57.596073
15804,488,116,0,2019-06-04 14:04:57.699912
14600,-36,1796,0,2019-06-04 14:04:57.803639
18080,1188,-400,0,2019-06-04 14:04:57.907694
17104,72,2336,0,2019-06-04 14:04:58.011438
15856,-492,912,0,2019-06-04 14:04:58.115336
18504,304,1080,0,2019-06-04 14:04:58.219057
14992,472,648,0,2019-06-04 14:04:58.322950
17760,284,2536,0,2019-06-04 14:04:58.426682
17252,12,1456,0,2019-06-04 14:04:58.530298
17860,332,1432,0,2019-06-04 14:04:58.633986
14532,336,752,0,2019-06-04 14:04:58.737698
16760,424,1496,0,2019-06-04 14:04:58.841465
16460,352,992,0,2019-06-04 14:04:58.945104
16908,740,960,0,2019-06-04 14:04:59.050184
18536,520,1392,0,2019-06-04 14:04:59.153836
15296,-160,2636,0,2019-06-04 14:04:59.258631
16412,120,2548,0,2019-06-04 14:04:59.362280
15712,-248,2756,0,2019-06-04 14:04:59.467216
15776,496,1312,0,2019-06-04 14:04:59.570912
17920,776,1316,0,2019-06-04 14:04:59.674568
17120,848,28,0,2019-06-04 14:04:59.778259
17288,984,696,0,2019-06-04 14:04:59.881957
16896,540,996,0,2019-06-04 14:04:59.987651
32172,-3456,4732,0,2019-06-04 14:05:00.091402
-1136,7784,-24488,0,2019-06-04 14:05:00.195187
-24768,1668,7304,1000,2019-06-04 14:05:00.298918
-712,508,12596,1000,2019-06-04 14:05:00.402614
-7072,20,13800,1000,2019-06-04 14:05:00.506205
-8664,556,14852,1000,2019-06-04 14:05:00.609972
14716,-2008,4456,1000,2019-06-04 14:05:00.713665
22448,-316,-640,1000,2019-06-04 14:05:00.817465
20348,-1104,-1552,1000,2019-06-04 14:05:00.921188
18120,-412,-4724,1000,2019-06-04 14:05:01.024900
18068,456,-4108,1000,2019-06-04 14:05:01.128641
18532,-492,972,1000,2019-06-04 14:05:01.232340
19676,340,1580,1000,2019-06-04 14:05:01.336121
16252,96,576,1000,2019-06-04 14:05:01.439706
16404,-220,-1136,1000,2019-06-04 14:05:01.544355
17752,40,1352,1000,2019-06-04 14:05:01.648008
18656,-504,744,1000,2019-06-04 14:05:01.751679
16312,104,-624,1000,2019-06-04 14:05:01.856247
16260,284,-3140,1000,2019-06-04 14:05:01.959979
15776,-240,-1484,1000,2019-06-04 14:05:02.063663
18004,292,-856,1000,2019-06-04 14:05:02.168459
18624,80,-1488,1000,2019-06-04 14:05:02.273600
16452,228,-2012,1000,2019-06-04 14:05:02.378416
17228,-100,-1192,1000,2019-06-04 14:05:02.482195
17148,-160,-952,1000,2019-06-04 14:05:02.586113
16256,-308,-436,1000,2019-06-04 14:05:02.691495
17756,-88,-824,1000,2019-06-04 14:05:02.795262
16996,-276,104,1000,2019-06-04 14:05:02.898956
16976,-428,752,1000,2019-06-04 14:05:03.002693
17184,-700,1436,1000,2019-06-04 14:05:03.106370
16160,-516,-740,1000,2019-06-04 14:05:03.210084
16748,92,-2232,1000,2019-06-04 14:05:03.313852
16960,-636,20,1000,2019-06-04 14:05:03.417543
15932,-768,-164,1000,2019-06-04 14:05:03.521239
16484,-672,228,1000,2019-06-04 14:05:03.624998
17816,-456,-292,1000,2019-06-04 14:05:03.728812
16636,-628,-648,1000,2019-06-04 14:05:03.833449
