x,y,z,PIR,time
16484,-2860,-2612,0,2019-06-04 14:12:08.535922
16716,-2780,-3060,0,2019-06-04 14:12:08.645127
17168,-2456,-3220,0,2019-06-04 14:12:08.764138
17228,-2132,-2524,0,2019-06-04 14:12:08.870749
16800,-2156,-2800,0,2019-06-04 14:12:08.992211
14200,-3852,-3276,0,2019-06-04 14:12:09.111393
16164,-1840,-2696,0,2019-06-04 14:12:09.236002
14852,-3424,-1668,0,2019-06-04 14:12:09.354965
18620,-1784,-528,0,2019-06-04 14:12:09.473880
18360,-2224,-1008,0,2019-06-04 14:12:09.592870
17132,-1416,-1196,0,2019-06-04 14:12:09.711816
15420,-152,-4084,0,2019-06-04 14:12:09.830814
16784,-3100,-1720,0,2019-06-04 14:12:09.949950
14524,-1092,-8704,0,2019-06-04 14:12:10.069091
19300,-1112,-1172,0,2019-06-04 14:12:10.183255
18392,-364,-1452,0,2019-06-04 14:12:10.291957
19332,-1464,-8,0,2019-06-04 14:12:10.400922
17700,-3244,1004,0,2019-06-04 14:12:10.520244
16624,-3340,432,0,2019-06-04 14:12:10.639155
16940,-2888,788,0,2019-06-04 14:12:10.758270
16744,-1896,-1056,0,2019-06-04 14:12:10.877179
19988,-1996,900,0,2019-06-04 14:12:10.996114
18100,-2184,-12,0,2019-06-04 14:12:11.115059
16808,-2724,592,0,2019-06-04 14:12:11.233956
18460,-1108,2608,0,2019-06-04 14:12:11.352833
15580,-2312,240,0,2019-06-04 14:12:11.477328
16452,-2664,960,0,2019-06-04 14:12:11.600513
32767,1608,7144,0,2019-06-04 14:12:11.719552
7976,-11088,-19492,0,2019-06-04 14:12:11.838498
-10816,-7036,23616,1000,2019-06-04 14:12:11.941951
-1536,17220,-3428,1000,2019-06-04 14:12:12.050726
1568,-408,14248,1000,2019-06-04 14:12:12.154319
516,-88,12876,1000,2019-06-04 14:12:12.257863
404,-2580,13080,1000,2019-06-04 14:12:12.361639
-604,-3560,13632,1000,2019-06-04 14:12:12.471047
-112,-3088,14312,1000,2019-06-04 14:12:12.575577
1384,-2728,14124,1000,2019-06-04 14:12:12.679165
896,-2168,14000,1000,2019-06-04 14:12:12.791606
1452,-2328,13024,1000,2019-06-04 14:12:12.895500
1704,-1920,14088,1000,2019-06-04 14:12:12.999124
-348,-3468,13320,1000,2019-06-04 14:12:13.107888
256,-2584,13984,1000,2019-06-04 14:12:13.212396
580,-2348,12712,1000,2019-06-04 14:12:13.316947
1036,-2432,14840,1000,2019-06-04 14:12:13.420523
428,-1808,14248,1000,2019-06-04 14:12:13.531817
268,-2308,13456,1000,2019-06-04 14:12:13.635464
568,-2532,13424,1000,2019-06-04 14:12:13.739042
564,-2280,13860,1000,2019-06-04 14:12:13.847673
988,-1988,13600,1000,2019-06-04 14:12:13.952902
536,-3004,14292,1000,2019-06-04 14:12:14.057285
616,-2308,13504,1000,2019-06-04 14:12:14.161903
-976,-3844,12088,1000,2019-06-04 14:12:14.271984
524,-2328,12816,1000,2019-06-04 14:12:14.375864
1224,-2280,13124,1000,2019-06-04 14:12:14.479445
740,-2240,14072,1000,2019-06-04 14:12:14.588191
340,-2304,13060,1000,2019-06-04 14:12:14.693090
812,-2332,13524,1000,2019-06-04 14:12:14.796735
244,-2464,14060,1000,2019-06-04 14:12:14.900339
448,-2252,13808,1000,2019-06-04 14:12:15.009061
536,-1684,13564,1000,2019-06-04 14:12:15.127965
308,-2520,12924,1000,2019-06-04 14:12:15.232979
396,-2568,14072,1000,2019-06-04 14:12:15.336532
472,-2120,13052,1000,2019-06-04 14:12:15.440090
696,-1844,13204,1000,2019-06-04 14:12:15.548763
404,-1852,13364,1000,2019-06-04 14:12:15.653455
260,-2316,13980,1000,2019-06-04 14:12:15.757691
868,-2116,14504,1000,2019-06-04 14:12:15.861285
340,-2288,14216,1000,2019-06-04 14:12:15.970007
492,-2632,13808,1000,2019-06-04 14:12:16.089121
-56,-2420,13340,1000,2019-06-04 14:12:16.192803
644,-2156,13460,1000,2019-06-04 14:12:16.296370
0,-2632,13672,1000,2019-06-04 14:12:16.399942
392,-2456,13084,1000,2019-06-04 14:12:16.508635
9204,6684,25784,1000,2019-06-04 14:12:16.613145
5600,-4440,11004,1000,2019-06-04 14:12:16.721816
18748,-4972,14048,1000,2019-06-04 14:12:16.838264
18096,-5396,1312,0,2019-06-04 14:12:16.957094
19956,-4468,-348,0,2019-06-04 14:12:17.076048
18320,-4796,-1584,0,2019-06-04 14:12:17.200630
22448,-4216,4004,0,2019-06-04 14:12:17.319694
18200,-2532,-3172,0,2019-06-04 14:12:17.438605
13520,-2080,-4768,0,2019-06-04 14:12:17.561937
17500,-1824,-1140,0,2019-06-04 14:12:17.680961
16336,-1504,-3068,0,2019-06-04 14:12:17.800005
15144,-2076,-4400,0,2019-06-04 14:12:17.916885
17884,-2844,-1512,0,2019-06-04 14:12:18.025605
17896,-1284,-2108,0,2019-06-04 14:12:18.144688
18152,-1292,-1520,0,2019-06-04 14:12:18.262246
14608,-2488,-3308,0,2019-06-04 14:12:18.381225
16404,-3284,-1792,0,2019-06-04 14:12:18.500171
17296,-356,-5728,0,2019-06-04 14:12:18.619073
14176,-2484,-4600,0,2019-06-04 14:12:18.737972
16184,-3056,-1596,0,2019-06-04 14:12:18.857173
19372,-1228,-1560,0,2019-06-04 14:12:18.977935
12988,-3244,-5432,0,2019-06-04 14:12:19.096797
19752,-3040,-2192,0,2019-06-04 14:12:19.215713
15508,-1700,-4796,0,2019-06-04 14:12:19.334584
15864,-2672,-4212,0,2019-06-04 14:12:19.453491
16924,-2924,-2420,0,2019-06-04 14:12:19.578116
19000,-792,-968,0,2019-06-04 14:12:19.697017
18688,-3328,-2112,0,2019-06-04 14:12:19.815919
14236,-2416,-3092,0,2019-06-04 14:12:19.934758
18312,-3792,292,0,2019-06-04 14:12:20.053793
17544,-3448,424,0,2019-06-04 14:12:20.167614
16872,-3272,-2628,0,2019-06-04 14:12:20.276336
16416,-2356,-188,0,2019-06-04 14:12:20.385238
15712,-2412,-676,0,2019-06-04 14:12:20.503175
17304,-868,-532,0,2019-06-04 14:12:20.623345
15172,-2736,-1964,0,2019-06-04 14:12:20.742622
16276,-2268,-1116,0,2019-06-04 14:12:20.863043
16676,-1788,-1520,0,2019-06-04 14:12:20.971942
18212,-1232,-1904,0,2019-06-04 14:12:21.083782
19616,-972,-140,0,2019-06-04 14:12:21.202684
16840,-1388,-2224,0,2019-06-04 14:12:21.311551
17244,-1752,-408,0,2019-06-04 14:12:21.423818
18512,-2224,1316,0,2019-06-04 14:12:21.532683
17008,-1440,-1968,0,2019-06-04 14:12:21.644483
17796,-3028,-272,0,2019-06-04 14:12:21.763547
17892,-1904,-844,0,2019-06-04 14:12:21.878950
18084,-2372,-1168,0,2019-06-04 14:12:21.997851
13260,-2408,-2104,0,2019-06-04 14:12:22.117025
16856,-2124,-1612,0,2019-06-04 14:12:22.241622
17524,-1936,-2404,0,2019-06-04 14:12:22.363772
15688,-2212,-1544,0,2019-06-04 14:12:22.482707
15148,-2536,-1956,0,2019-06-04 14:12:22.601568
17536,-1500,-3336,0,2019-06-04 14:12:22.720483
13092,-2900,-3292,0,2019-06-04 14:12:22.839354
16764,-1832,-800,0,2019-06-04 14:12:22.963907
17924,-1884,-1496,0,2019-06-04 14:12:23.077890
19784,-1096,-700,0,2019-06-04 14:12:23.196821
17340,-1804,-916,0,2019-06-04 14:12:23.315806
25784,-1572,5528,0,2019-06-04 14:12:23.434735
24120,-5200,6924,0,2019-06-04 14:12:23.548618
-11716,12408,3588,0,2019-06-04 14:12:23.655978
-2276,2220,19300,1000,2019-06-04 14:12:23.759854
7636,6040,15176,1000,2019-06-04 14:12:23.863389
-1088,-1076,9464,1000,2019-06-04 14:12:23.972058
-428,-876,13580,1000,2019-06-04 14:12:24.075620
-532,-488,14156,1000,2019-06-04 14:12:24.179253
-312,-1852,14340,1000,2019-06-04 14:12:24.282831
-416,-2264,14748,1000,2019-06-04 14:12:24.391543
-532,-2108,13624,1000,2019-06-04 14:12:24.496066
-588,-2220,12556,1000,2019-06-04 14:12:24.599614
-464,-1968,13408,1000,2019-06-04 14:12:24.703165
-400,-2144,13724,1000,2019-06-04 14:12:24.815905
0,-844,14324,1000,2019-06-04 14:12:24.919758
540,-976,14512,1000,2019-06-04 14:12:25.023854
520,-1292,14340,1000,2019-06-04 14:12:25.132578
-172,-1944,14336,1000,2019-06-04 14:12:25.246422
-40,-1564,13312,1000,2019-06-04 14:12:25.356139
0,-1556,13816,1000,2019-06-04 14:12:25.459866
-1412,-2600,13248,1000,2019-06-04 14:12:25.563498
-612,-1516,13528,1000,2019-06-04 14:12:25.672508
888,-1236,14184,1000,2019-06-04 14:12:25.787143
-16,-2012,13396,1000,2019-06-04 14:12:25.896495
-812,-1780,13556,1000,2019-06-04 14:12:26.000106
